"title","wikibase_item","Studio"
"دیو و دلبر (فیلم ۲۰۱۴)","Q3206615","studio = Eskwad{{سخ}}[[پتی]]{{سخ}}[[استودیو بابلسبرگ"
"نه و نیم هفته","Q644552","studio = [[پرودیوسرز سیل ارگانیزیشن]] "
"لال سینگ چادا","Q73093255","studio = | distributor = [[پارامونت پیکچرز]] "
"آرآرآر (فیلم)","Q60424165","studio = دی‌وی‌وی انترتینمنتس "
"هتل ترانسیلوانیا ۳: تعطیلات تابستانی","Q28840385","studio = [[سونی پیکچرز انیمیشن]] "
"جان رمبو (فیلم)","Q159870","studio = [[آوی لرنر]]{{سخ}}[[Nu Image Films]]{{سخ}}for Equity Pictures Medienfonds GmbH<ref name=""rambothefilm.com"">http://www.rambothefilm.com/credits.jpg{{پیوند مرده"
"انتقام‌جویان: عصر اولتران","Q14171368","studio = [[مارول استودیوز]] "
"ربه‌کا (فیلم ۲۰۲۰)","Q65091288","studio = {{Plainlist"
"کونان بربر (فیلم ۲۰۱۱)","Q1123629","studio = [[Nu Image Films]]{{سخ}}[[آوی لرنر]]{{سخ}}[[Paradox Entertainment]] "
"جانوران شگفت‌انگیز و زیستگاه آن‌ها (فیلم)","Q18199330","studio = [[هیدی فیلمز]] "
"بینوایان (فیلم ۲۰۱۲)","Q28234","studio = [[ورکینگ تایتل فیلمز]]{{سخ}}[[ریلتیوتی میدیا]] "
"شیون (فیلم)","Q22972803","studio = ساید میرر{{سخ}}فاکس قرن بیستم کره "
"باکره چهل‌ساله","Q1139794","studio = [[آپاتو پروداکشنز]] "
"با عشق رزی","Q15522237","studio = کنستانتین فیلم "
"همین‌گونه بمان","Q1755502","studio = | distributor = [[نیو لاین سینما]] {{small"
"مونامور","Q1058146","studio = | distributor = "
"ضربه پنهان","Q60993034","studio = تلنت اینترنشنال میدیا{{سخ}}اسپارکل رُل میدیا{{سخ}}تنسنت پیکچرز "
"بعضی‌ها داغشو دوست دارن","Q190086","studio = [[میریش کمپانی]] "
"ددپول ۲","Q25431158","studio = {{فهرست ساده"
"بامشل (فیلم ۲۰۱۹)","Q58814589","studio = برون استودیوز{{سخ}}[[آناپورنا پیکچرز]] "
"اعجوبه (فیلم)","Q27958394","studio = {{Plainlist"
"اکنون مرا می‌بینی (فیلم)","Q499851","studio = کی/او پیپر پراداکتس "
"اسپکتر (فیلم ۲۰۱۵)","Q18602670","studio = ائون پروداکشنز "
