"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Ανί Ζιραρντό","classification.ores.articletopic/Culture.Media.Media*|978|classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|926|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|884|classification.ores.articletopic/Culture.Biography.Women|577","Q106443","tt1297263","Annie Girardot, ainsi va la vie","not exact match",NA,NA
"Μισέλ Σιμόν","classification.ores.articletopic/Culture.Media.Films|359|classification.ores.articletopic/Culture.Biography.Biography*|747|classification.ores.articletopic/Geography.Regions.Europe.Europe*|758|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|836","Q124112","tt0042235","Beauty and the Devil","not exact match",NA,NA
"Κατάλογος Ελληνικών ταινιών του 1970","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|949|classification.ores.articletopic/Culture.Media.Films|941|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Geography.Regions.Europe.Europe*|909","Q94532206","tt0179890","Ypolohagos Natassa","not exact match",NA,NA
"Τζέικομπ Τρέμπλεϊ","classification.ores.articletopic/History and Society.Society|382|classification.ores.articletopic/Culture.Media.Films|994|classification.ores.articletopic/Culture.Media.Media*|929|classification.ores.articletopic/Geography.Regions.Americas.North America|734|classification.ores.articletopic/Culture.Biography.Biography*|375|recommendation.link/exists|1","Q20965633","tt7343762",NA,NA,NA,NA
"Σαμ Γουότερστον","classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Geography.Regions.Americas.North_America|855|classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Culture.Media.Films|679","Q284876","tt0098844","Law & Order","not exact match",NA,NA
"Ντι Μπράντλεϊ Μπέικερ","classification.ores.articletopic/Culture.Media.Media*|812|classification.ores.articletopic/Culture.Media.Films|500|classification.ores.articletopic/Culture.Biography.Biography*|970","Q837676","tt0426456","Fallout: Brotherhood of Steel","not exact match",NA,NA
"Τζέιμς Γκάρνερ","classification.ores.articletopic/Culture.Media.Films|771|classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Geography.Regions.Americas.North_America|874","Q108510","tt0067763","Skin Game","not exact match",NA,NA
"Ασγκάρ Φαραντί","classification.ores.articletopic/Culture.Biography.Biography*|329|classification.ores.articletopic/Culture.Media.Media*|740|classification.ores.articletopic/Geography.Regions.Asia.West Asia|509|classification.ores.articletopic/Geography.Regions.Asia.Asia*|855|classification.ores.articletopic/History and Society.Society|432|classification.ores.articletopic/Culture.Media.Films|837","Q334242","tt2404461","The Past","not exact match",NA,NA
"Βίκτορ Φλέμινγκ","classification.ores.articletopic/Culture.Media.Films|951|classification.ores.articletopic/Culture.Media.Media*|908|classification.ores.articletopic/Culture.Biography.Biography*|773|recommendation.link/exists|1","Q62503","tt0281808","Dijalog o monodrami","not exact match",NA,NA
"Κατάλογος χριστουγεννιάτικων ταινιών","classification.ores.articletopic/Culture.Media.Films|909|classification.ores.articletopic/Geography.Regions.Americas.North_America|500|classification.ores.articletopic/Culture.Media.Media*|939","Q1580173","tt0058548","Santa Claus Conquers the Martians","not exact match",NA,NA
"Η νοσταλγός","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Geography.Regions.Europe.Europe*|839|classification.ores.articletopic/Culture.Media.Media*|947","Q20649707","tt0847186","The Woman Who Missed Home","not exact match",NA,NA
"Τζέιμς Κάγκνεϊ","classification.ores.articletopic/Culture.Sports|38|classification.ores.articletopic/Culture.Media.Media*|810|classification.ores.articletopic/Geography.Regions.Americas.North America|790|classification.ores.articletopic/Culture.Biography.Biography*|883|classification.ores.articletopic/Culture.Media.Films|409|recommendation.image_section/exists|1","Q94041","tt0669890","Episode #2.6","not exact match",NA,NA
"How to Get Away with Murder (1ος κύκλος)","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Television|930|classification.ores.articletopic/Geography.Regions.Americas.North_America|629|classification.ores.articletopic/Culture.Media.Films|787","Q18413844","tt3205802","How to Get Away with Murder","not exact match",NA,NA
"Μεξικανικός κινηματογράφος","classification.ores.articletopic/Culture.Media.Media*|887|classification.ores.articletopic/Geography.Regions.Americas.North America|738|classification.ores.articletopic/Culture.Media.Films|976|recommendation.link/exists|1","Q1343274","tt0134421","The Road of Life","not exact match",NA,NA
"Βόλφγκανγκ Πέτερσεν","classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Culture.Media.Media*|913","Q65321","tt5173166","Vier gegen die Bank","not exact match",NA,NA
"Daredevil (2ος κύκλος)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|994|classification.ores.articletopic/Culture.Media.Films|777|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|987|classification.ores.articletopic/Culture.Media.Television|839|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Literature|979","Q20649687","tt3322312","Daredevil","not exact match",NA,NA
"Dexter (1ος κύκλος)","classification.ores.articletopic/Geography.Regions.Americas.North_America|777|classification.ores.articletopic/Culture.Media.Films|989|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Television|705","Q2698774","tt0773262","Dexter","not exact match",NA,NA
"Loki (1ος κύκλος)","classification.ores.articletopic/Culture.Literature|896|classification.ores.articletopic/Culture.Media.Films|338|classification.ores.articletopic/Culture.Media.Media*|936","Q107185252","tt9140554","Loki","not exact match",NA,NA
"Πίτερ Μπογκντάνοβιτς","classification.ores.articletopic/Culture.Media.Films|885|classification.ores.articletopic/Geography.Regions.Americas.North America|807|classification.ores.articletopic/Culture.Biography.Biography*|522|classification.ores.articletopic/Culture.Media.Media*|946|recommendation.link/exists|1","Q158250","tt8758548","The Great Buster","not exact match",NA,NA
"Χρυσές Σφαίρες του 2011","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Geography.Regions.Americas.North_America|515|classification.ores.articletopic/Culture.Media.Media*|994|recommendation.image/exists|1","Q8671","tt2125640","The 69th Annual Golden Globe Awards","not exact match",NA,NA
"Daredevil (1ος κύκλος)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|996|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|995|classification.ores.articletopic/Culture.Media.Films|766|classification.ores.articletopic/Culture.Media.Media*|990|classification.ores.articletopic/Culture.Literature|989|classification.ores.articletopic/Culture.Media.Television|843","Q19830678","tt3322312","Daredevil","not exact match",NA,NA
"Μέικο Κάτζι","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Music|692|classification.ores.articletopic/Geography.Regions.Asia.Asia*|685|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Films|924|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|737","Q175900","tt0077463","Double Suicide of Sonezaki","not exact match",NA,NA
